geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0099536	synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0099536	321	11	3.86475085684155	2.8462378061259295	0.0017029360975434474	0.04126180061136007	31767;32328;32849;33275;40913;41094;41880;43729;43838;48973;326186	FLYBASE:FBgn0003165;FLYBASE:FBgn0015519;FLYBASE:FBgn0019985;FLYBASE:FBgn0030512;FLYBASE:FBgn0030941;FLYBASE:FBgn0039862;FLYBASE:FBgn0046113;FLYBASE:FBgn0051146;FLYBASE:FBgn0052056;FLYBASE:FBgn0262483;FLYBASE:FBgn0262733
GO:0010556	regulation of macromolecule biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0010556	1641	33	19.757184286844186	1.6702784931744485	0.001712190519940635	0.04126180061136007	31912;33015;33051;33432;34673;37038;37254;37890;38149;38338;39039;39518;39521;41094;41411;41709;41783;42162;42743;42757;42767;42821;42952;43087;43256;43362;43435;43604;43656;43789;44018;44275;44849	FLYBASE:FBgn0000233;FLYBASE:FBgn0000490;FLYBASE:FBgn0003117;FLYBASE:FBgn0003118;FLYBASE:FBgn0003165;FLYBASE:FBgn0003435;FLYBASE:FBgn0003495;FLYBASE:FBgn0003499;FLYBASE:FBgn0003720;FLYBASE:FBgn0004101;FLYBASE:FBgn0004394;FLYBASE:FBgn0004878;FLYBASE:FBgn0010113;FLYBASE:FBgn0011666;FLYBASE:FBgn0025574;FLYBASE:FBgn0028789;FLYBASE:FBgn0029123;FLYBASE:FBgn0031091;FLYBASE:FBgn0035205;FLYBASE:FBgn0036373;FLYBASE:FBgn0037937;FLYBASE:FBgn0038197;FLYBASE:FBgn0039078;FLYBASE:FBgn0039225;FLYBASE:FBgn0039633;FLYBASE:FBgn0052296;FLYBASE:FBgn0085391;FLYBASE:FBgn0086708;FLYBASE:FBgn0259162;FLYBASE:FBgn0259211;FLYBASE:FBgn0262127;FLYBASE:FBgn0262636;FLYBASE:FBgn0262975
GO:0072001	renal system development	http://amigo.geneontology.org/amigo/term/GO:0072001	73	5	0.8788997275683276	5.688931106889312	0.0018331624775127925	0.04392172525601459	33281;33432;39039;42757;44849	FLYBASE:FBgn0000490;FLYBASE:FBgn0003117;FLYBASE:FBgn0003118;FLYBASE:FBgn0003310;FLYBASE:FBgn0028789
GO:0010160	formation of animal organ boundary	http://amigo.geneontology.org/amigo/term/GO:0010160	44	4	0.5297477810000879	7.550763105507631	0.001879571503447261	0.04451899361022227	33432;39013;43434;45307	FLYBASE:FBgn0000490;FLYBASE:FBgn0001085;FLYBASE:FBgn0039632;FLYBASE:FBgn0263930
GO:0008586	imaginal disc-derived wing vein morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0008586	44	4	0.5297477810000879	7.550763105507631	0.001879571503447261	0.04451899361022227	33432;35085;37890;39013	FLYBASE:FBgn0000490;FLYBASE:FBgn0004101;FLYBASE:FBgn0041184;FLYBASE:FBgn0263930
GO:0198738	cell-cell signaling by wnt	http://amigo.geneontology.org/amigo/term/GO:0198738	146	7	1.7577994551366551	3.982251774822518	0.0019027359663227991	0.0445584213582373	35975;38433;38611;38736;39013;44275;45307	FLYBASE:FBgn0001085;FLYBASE:FBgn0004360;FLYBASE:FBgn0004380;FLYBASE:FBgn0005640;FLYBASE:FBgn0020251;FLYBASE:FBgn0029123;FLYBASE:FBgn0263930
GO:0009953	dorsal/ventral pattern formation	http://amigo.geneontology.org/amigo/term/GO:0009953	146	7	1.7577994551366551	3.982251774822518	0.0019027359663227991	0.0445584213582373	33281;33432;39013;41788;42743;42757;43256	FLYBASE:FBgn0000490;FLYBASE:FBgn0003118;FLYBASE:FBgn0003310;FLYBASE:FBgn0003495;FLYBASE:FBgn0262975;FLYBASE:FBgn0263929;FLYBASE:FBgn0263930
GO:0007616	long-term memory	http://amigo.geneontology.org/amigo/term/GO:0007616	74	5	0.8909394498637841	5.612053659498915	0.0019472793842069515	0.04510230560967378	35085;41094;42066;43838;48973	FLYBASE:FBgn0003165;FLYBASE:FBgn0014141;FLYBASE:FBgn0019985;FLYBASE:FBgn0041184;FLYBASE:FBgn0262733
GO:0051239	regulation of multicellular organismal process	http://amigo.geneontology.org/amigo/term/GO:0051239	591	16	7.115475876614817	2.248619808069954	0.0019581459955888133	0.04510230560967378	33281;33432;35085;37038;38149;39385;41709;41783;42066;42757;42952;43604;43892;44275;45307;48973	FLYBASE:FBgn0000490;FLYBASE:FBgn0001085;FLYBASE:FBgn0003118;FLYBASE:FBgn0003310;FLYBASE:FBgn0010113;FLYBASE:FBgn0014141;FLYBASE:FBgn0029123;FLYBASE:FBgn0035205;FLYBASE:FBgn0036257;FLYBASE:FBgn0038197;FLYBASE:FBgn0039225;FLYBASE:FBgn0041184;FLYBASE:FBgn0085447;FLYBASE:FBgn0259211;FLYBASE:FBgn0262127;FLYBASE:FBgn0262733
GO:0120036	plasma membrane bounded cell projection organization	http://amigo.geneontology.org/amigo/term/GO:0120036	705	18	8.488004218296863	2.120639850908526	0.0019586043449315513	0.04510230560967378	32849;35154;35975;37254;38611;39013;41094;41709;42066;42743;43256;43417;43469;43789;43892;44275;45307;48973	FLYBASE:FBgn0001085;FLYBASE:FBgn0003165;FLYBASE:FBgn0003435;FLYBASE:FBgn0003495;FLYBASE:FBgn0004360;FLYBASE:FBgn0004369;FLYBASE:FBgn0004380;FLYBASE:FBgn0014141;FLYBASE:FBgn0015772;FLYBASE:FBgn0029123;FLYBASE:FBgn0030941;FLYBASE:FBgn0038197;FLYBASE:FBgn0039617;FLYBASE:FBgn0085447;FLYBASE:FBgn0262636;FLYBASE:FBgn0262733;FLYBASE:FBgn0262975;FLYBASE:FBgn0263930
GO:0060070	canonical Wnt signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0060070	109	6	1.3123297302047632	4.572021696912877	0.0020045259715044954	0.04590475222036538	35975;38433;38611;39013;44275;45307	FLYBASE:FBgn0001085;FLYBASE:FBgn0004360;FLYBASE:FBgn0004380;FLYBASE:FBgn0005640;FLYBASE:FBgn0029123;FLYBASE:FBgn0263930
GO:0016319	mushroom body development	http://amigo.geneontology.org/amigo/term/GO:0016319	75	5	0.9029791721592407	5.5372262773722625	0.0020665086590764548	0.046806985747933905	43656;43789;44018;44531;48973	FLYBASE:FBgn0003720;FLYBASE:FBgn0004878;FLYBASE:FBgn0262636;FLYBASE:FBgn0262733;FLYBASE:FBgn0266098
GO:0070482	response to oxygen levels	http://amigo.geneontology.org/amigo/term/GO:0070482	75	5	0.9029791721592407	5.5372262773722625	0.0020665086590764548	0.046806985747933905	32619;34167;34514;38338;43087	FLYBASE:FBgn0011666;FLYBASE:FBgn0020497;FLYBASE:FBgn0052296;FLYBASE:FBgn0053129;FLYBASE:FBgn0285944
GO:0031326	regulation of cellular biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0031326	1663	33	20.02205817734423	1.6481822052310704	0.002137947390539995	0.04816191268363195	31912;33015;33051;33432;34673;37038;37254;37890;38149;38338;39039;39518;39521;41094;41411;41709;41783;42162;42743;42757;42767;42821;42952;43087;43256;43362;43435;43604;43656;43789;44018;44275;44849	FLYBASE:FBgn0000233;FLYBASE:FBgn0000490;FLYBASE:FBgn0003117;FLYBASE:FBgn0003118;FLYBASE:FBgn0003165;FLYBASE:FBgn0003435;FLYBASE:FBgn0003495;FLYBASE:FBgn0003499;FLYBASE:FBgn0003720;FLYBASE:FBgn0004101;FLYBASE:FBgn0004394;FLYBASE:FBgn0004878;FLYBASE:FBgn0010113;FLYBASE:FBgn0011666;FLYBASE:FBgn0025574;FLYBASE:FBgn0028789;FLYBASE:FBgn0029123;FLYBASE:FBgn0031091;FLYBASE:FBgn0035205;FLYBASE:FBgn0036373;FLYBASE:FBgn0037937;FLYBASE:FBgn0038197;FLYBASE:FBgn0039078;FLYBASE:FBgn0039225;FLYBASE:FBgn0039633;FLYBASE:FBgn0052296;FLYBASE:FBgn0085391;FLYBASE:FBgn0086708;FLYBASE:FBgn0259162;FLYBASE:FBgn0259211;FLYBASE:FBgn0262127;FLYBASE:FBgn0262636;FLYBASE:FBgn0262975
GO:0009247	glycolipid biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0009247	46	4	0.553827225591001	7.2224690574420825	0.0022179195708141313	0.049693387140673374	34282;38446;42686;19835548	FLYBASE:FBgn0032135;FLYBASE:FBgn0035464;FLYBASE:FBgn0039010;FLYBASE:FBgn0266438
