Day,Time,Arena,Sex,Treatment,Soc_index,ExperimentalBlock,Strain_ID
1,5,26,Male,RNAi,4.285714286,A,50893
1,2,27,Male,Control,1.12244898,A,50893
1,5,27,Male,Control,1.12244898,A,50893
1,4,27,Male,Control,2.102040816,A,50893
1,1,27,Male,Control,2.428571429,A,50893
1,3,27,Male,Control,1.448979592,A,50893
1,3,28,Female,Control,8,A,50893
1,5,28,Female,Control,2.857142857,A,50893
1,2,28,Female,Control,4.571428571,A,50893
1,1,28,Female,Control,8,A,50893
1,4,28,Female,Control,6,A,50893
1,1,29,Female,Control,4.571428571,A,50893
1,3,29,Female,Control,4.285714286,A,50893
1,5,29,Female,Control,8,A,50893
1,4,29,Female,Control,3.142857143,A,50893
1,2,29,Female,Control,6,A,50893
1,4,31,Male,Control,1.428571429,A,50893
1,1,31,Male,Control,1.428571429,A,50893
1,2,31,Male,Control,1.142857143,A,50893
1,3,31,Male,Control,2,A,50893
1,5,31,Male,Control,0.857142857,A,50893
1,2,33,Male,RNAi,2,A,50893
1,4,33,Male,RNAi,2,A,50893
1,1,33,Male,RNAi,1.142857143,A,50893
1,3,33,Male,RNAi,0.285714286,A,50893
1,5,33,Male,RNAi,2,A,50893
1,1,34,Male,Control,1.428571429,A,50893
1,2,34,Male,Control,1.714285714,A,50893
1,5,34,Male,Control,2,A,50893
1,4,34,Male,Control,1.428571429,A,50893
1,3,34,Male,Control,1.142857143,A,50893
1,1,35,Female,Control,1.428571429,A,50893
1,3,35,Female,Control,2.857142857,A,50893
1,5,35,Female,Control,2.857142857,A,50893
1,2,35,Female,Control,2,A,50893
1,4,35,Female,Control,6,A,50893
1,4,38,Male,Control,2.102040816,A,50893
1,2,38,Male,Control,3.081632653,A,50893
1,3,38,Male,Control,2.102040816,A,50893
1,5,38,Male,Control,3.408163265,A,50893
1,1,38,Male,Control,2.102040816,A,50893
1,4,39,Female,Control,4.285714286,A,50893
1,2,39,Female,Control,4.571428571,A,50893
1,3,39,Female,Control,8,A,50893
1,5,39,Female,Control,8,A,50893
1,1,39,Female,Control,2.857142857,A,50893
1,1,42,Male,Control,2,A,50893
1,2,42,Male,Control,1.142857143,A,50893
1,3,42,Male,Control,2,A,50893
1,5,42,Male,Control,3.142857143,A,50893
1,4,42,Male,Control,3.142857143,A,50893
1,5,44,Female,Control,4.285714286,A,50893
1,4,44,Female,Control,3.142857143,A,50893
1,1,44,Female,Control,0.857142857,A,50893
1,2,44,Female,Control,1.142857143,A,50893
1,3,44,Female,Control,4.571428571,A,50893
1,3,45,Male,Control,4.571428571,A,50893
1,4,45,Male,Control,3.142857143,A,50893
1,1,45,Male,Control,1.428571429,A,50893
1,2,45,Male,Control,1.428571429,A,50893
1,5,45,Male,Control,3.142857143,A,50893
1,3,47,Female,Control,6,A,50893
1,4,47,Female,Control,6,A,50893
1,1,47,Female,Control,4.285714286,A,50893
1,2,47,Female,Control,8,A,50893
1,5,47,Female,Control,2,A,50893
2,1,1,Female,Control,4.285714286,A,50893
2,2,1,Female,Control,4.285714286,A,50893
2,4,1,Female,Control,4.571428571,A,50893
2,5,1,Female,Control,3.142857143,A,50893
2,3,1,Female,Control,2,A,50893
2,5,2,Male,Control,3.428571429,A,50893
2,1,2,Male,Control,1.142857143,A,50893
2,4,2,Male,Control,1.428571429,A,50893
2,2,2,Male,Control,1.714285714,A,50893
2,3,2,Male,Control,1.714285714,A,50893
2,4,3,Male,RNAi,0.857142857,A,50893
2,5,3,Male,RNAi,1.714285714,A,50893
2,3,3,Male,RNAi,1.428571429,A,50893
2,1,3,Male,RNAi,2,A,50893
2,2,3,Male,RNAi,3.142857143,A,50893
2,3,4,Female,RNAi,5.040816327,A,50893
2,4,4,Female,RNAi,3.408163265,A,50893
2,2,4,Female,RNAi,5.040816327,A,50893
2,5,4,Female,RNAi,5.040816327,A,50893
2,1,4,Female,RNAi,7,A,50893
2,3,6,Male,RNAi,5.040816327,A,50893
2,1,6,Male,RNAi,2.428571429,A,50893
2,2,6,Male,RNAi,5.040816327,A,50893
2,4,6,Male,RNAi,1.448979592,A,50893
2,5,6,Male,RNAi,5.040816327,A,50893
2,5,7,Female,Control,6,A,50893
2,4,7,Female,Control,6,A,50893
2,1,7,Female,Control,2.857142857,A,50893
2,3,7,Female,Control,2.285714286,A,50893
2,2,7,Female,Control,2.285714286,A,50893
2,4,8,Female,RNAi,8,A,50893
2,5,8,Female,RNAi,6,A,50893
2,3,8,Female,RNAi,6,A,50893
2,1,8,Female,RNAi,2.571428571,A,50893
2,2,8,Female,RNAi,3.142857143,A,50893
2,5,9,Female,RNAi,3.081632653,A,50893
2,4,9,Female,RNAi,3.081632653,A,50893
2,3,9,Female,RNAi,1.714285714,A,50893
2,2,9,Female,RNAi,1.775510204,A,50893
